,縣市,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位數,總樓層數temp,總樓層數-轉換
580,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街１７０之６號十四樓,22.37,住,,,1101201,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030403,172.34,3,2,2,有,有,11650000,67599,坡道平面,38.94,0,,RPVPMLSLJHHGFAH68DA,83.09,0.0,8.06,有,,1.0,十五,15
582,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區大興路２９０巷１０號六樓,17.33,商,,,1101219,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011210,162.31,3,2,2,有,有,12000000,73933,坡道平面,0.0,0,,RPPNMLRJKHHGFAH67DA,77.73,2.87,9.54,有,,1.0,十五,15
587,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄８號十二樓,22.71,住,,,1101025,土地3建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,186.65,3,2,2,有,有,16000000,95017,坡道平面,48.78,2900000,,RPRNMLPLJHHGFAH77DA,84.96,0.0,6.6,有,,2.0,十五,15
588,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２８號十五樓,20.08,住,,,1100812,土地3建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,147.87,3,2,2,有,有,13250000,97567,坡道平面,25.39,1300000,,RPUNMLPLJHHGFAH08DA,72.29,0.0,9.11,有,,1.0,十五,15
589,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄３２號九樓,15.8,住,,,1101011,土地3建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,146.59,2,2,2,有,有,11300000,94980,坡道平面,50.78,2200000,,RPVNMLPLJHHGFAH18DA,59.2,0.0,4.46,有,,2.0,十五,15
590,桃園市,桃園區,房地(土地+建物),桃園市桃園區明德街１３巷２號八樓　　　,10.97,住,,,1101203,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,80.02,2,2,1,有,有,6250000,78105,,0.0,0,,RPVTMLRKJHHGFAH88DA,60.38,3.03,5.76,有,,0.0,十七,17
591,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街８號二十五樓,61.53,商,,,1101220,土地1建物1車位2,二十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040303,665.28,0,0,0,無,有,68000000,102213,坡道平面,84.84,0,其他增建；,RPRSMLRKJHHGFAH38DA,343.15,0.0,48.37,有,,2.0,二十八,28
592,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路４４１號二十一樓之２,20.38,住,,,1101113,土地1建物1車位1,二十一層，二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,244.9,3,2,1,有,有,14652000,59831,坡道平面,0.0,0,,RPPTMLKMKIGGFAH87DA,146.73,15.35,9.94,有,,1.0,二十二,22
593,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路５８號十三樓,21.45,住,,,1100327,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,166.69,3,2,2,有,有,14020000,92811,坡道平面,37.18,2000000,預售屋、或土地及建物分件登記案件；,RPTNMLNLKIGGFAH87DA,78.83,0.0,9.25,有,,1.0,十五,15
594,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路６０號十三樓,16.6,住,,,1100404,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,133.3,2,2,2,有,有,11150000,91954,坡道平面,33.25,1950000,預售屋、或土地及建物分件登記案件；,RPTPMLNLKIGGFAH08DA,63.28,0.0,4.71,有,,1.0,十五,15
595,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路６２號九樓,19.96,住,,,1100717,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,153.81,3,2,2,有,有,12770000,91407,坡道平面,33.25,1750000,預售屋、或土地及建物分件登記案件；,RPRQMLNLKIGGFAH97DA,72.61,0.0,9.35,有,,1.0,十五,15
596,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路６２號十三樓,19.96,住,,,1090925,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,155.01,3,2,2,有,有,12010000,85518,坡道平面,34.45,1700000,預售屋、或土地及建物分件登記案件；,RPQRMLNLKIGGFAH97DA,72.61,0.0,9.35,有,,1.0,十五,15
597,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路６８號十五樓,14.34,住,,,1091017,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,119.44,2,2,1,有,有,9080000,86205,坡道平面,33.25,1650000,預售屋、或土地及建物分件登記案件；,RPXOMLRLKIGGFAH78DA,54.2,0.0,4.4,有,,1.0,十五,15
598,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路７２號七樓,16.6,住,,,1090709,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,134.5,2,2,2,有,有,9720000,82159,坡道平面,34.45,1500000,預售屋、或土地及建物分件登記案件；,RPORMLRLKIGGFAH18DA,63.28,0.0,4.71,有,,1.0,十五,15
599,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路７０號三樓,21.45,住,,,1101008,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,163.95999999999998,3,2,2,有,有,13750000,91499,坡道平面,34.45,1900000,預售屋、或土地及建物分件登記案件；,RPSVMLRLKIGGFAH98DA,78.83,0.0,9.25,有,,1.0,十五,15
600,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷２３號九樓,22.17,住,,,1101122,土地4建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060821,152.76,3,2,2,有,有,14700000,100987,坡道平面,24.03,1700000,,RPRTMLMLJIGGFAH08DA,78.58,0.0,9.01,有,,1.0,十五,15
602,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街１７５號十樓,12.16,住,,,1101220,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,112.07,2,1,1,有,有,11300000,114360,坡道平面,27.25,1600000,,RPXWMLKLKIGGFAH88DA,52.74,1.04,2.55,有,,1.0,二十一,21
603,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路５０號十樓,19.96,住,,,1100807,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,153.81,3,2,2,有,有,12600000,89167,坡道平面,33.25,1850000,預售屋、或土地及建物分件登記案件；,RPXNMLLLKIGGFAH08DA,72.61,0.0,9.35,有,,1.0,十五,15
604,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路５０號十四樓,19.96,住,,,1100501,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,155.01,3,2,2,有,有,12630000,89001,坡道平面,34.45,1900000,預售屋、或土地及建物分件登記案件；,RPOPMLLLKIGGFAH37DA,72.61,0.0,9.35,有,,1.0,十五,15
605,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區日光路５２號二樓,20.96,住,,,1100430,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101122,161.13,3,2,2,有,有,12800000,86833,坡道平面,34.45,1800000,預售屋、或土地及建物分件登記案件；,RPPPMLLLKIGGFAH47DA,76.62,0.0,9.5,有,,1.0,十五,15
