,縣市,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位數,總樓層數temp,總樓層數-轉換
3,台北市,中正區,房地(土地+建物),臺北市中正區羅斯福路三段１３６號十七樓,29.11,商,,,1110118,土地2建物1車位0,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100520,301.13,4,2,3,有,有,107700000,357653,,0.0,0,,RPSNMLQLJHHGFAA27DA,180.09,7.76,20.18,有,,0.0,二十二,22
6,台北市,萬華區,房地(土地+建物),臺北市萬華區水源路２０７之７號三樓,26.65,住,,,1101203,土地2建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,152.72,3,2,2,有,有,17850000,116881,,0.0,0,陽台外推；其他增建；,RPUNMLQLJHHGFBA57DA,76.66,0.0,14.53,有,,0.0,十六,16
7,台北市,萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路二段２３號十五樓,8.57,商,,,1101126,土地2建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.41999999999999,2,2,1,有,有,20060000,205128,坡道機械,19.94,1500000,買賣價格含直興段二小段1516及1517建號各持分451/100000,RPWOMLQLJHHGFBA87DA,53.82,3.16,3.89,有,,1.0,二十四,24
13,台北市,中山區,房地(土地+建物),臺北市中山區建國北路一段１５０號三樓之８,6.63,住,,,1101204,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,51.2,0,1,1,有,有,14600000,285156,,0.0,0,陽台外推；夾層；其他增建；,RPSOMLRJJHHGFCA47DA,26.42,2.94,4.48,有,,0.0,十三,13
35,台北市,中山區,房地(土地+建物),臺北市中山區中山北路一段１２１巷３３號九樓之１,7.3,商,,,1101221,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,69.14,1,1,1,有,有,17000000,245878,,0.0,0,,RPWSMLPJJHHGFCA18EA,40.56,1.36,4.97,有,10.0,0.0,十四,14
54,台北市,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７３號十三樓,18.79,商,,,1101211,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,188.5,4,2,2,有,有,59800000,363032,坡道平面,32.04,3000000,,RPWOMLRLJHHGFDA18DA,95.14,4.57,12.76,有,,1.0,十五,15
55,台北市,信義區,房地(土地+建物),臺北市信義區松勤街９號八樓之１３,6.19,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110101,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0961225,49.629999999999995,1,1,1,有,有,19880000,400483,,0.0,0,,RPXOMLRKJHHGFDA18DA,32.18,1.08,0.07,有,,0.0,十九,19
58,台北市,中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段２２之２號四樓,32.0,商,,,1101202,土地2建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960904,294.38,3,2,2,有,有,58580000,238794,坡道平面,74.18,6000000,陽台外推；其他增建；,RPRNMLSKJHHGFCA47DA,124.69,5.33,12.2,有,17.0,2.0,十四,14
62,台北市,萬華區,房地(土地+建物),臺北市萬華區成都路１５７號五樓之３,3.22,都市：其他:第四種商業區。,,,1101128,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960622,43.19,1,1,1,有,有,8750000,202593,,0.0,0,夾層；其他增建；,RPRNMLMKJHHGFBA76DA,23.63,0.0,4.94,有,19.0,0.0,十四,14
63,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷８號九樓,22.75,住,,,1090724,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,166.42000000000002,3,2,2,有,有,35900000,236015,坡道平面,24.48,2400000,預售屋、或土地及建物分件登記案件；,RPSPMLRKJHHGFAA47DA,76.68,3.63,5.23,有,,1.0,十四,14
64,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１６號十四樓,23.1,住,,,1090913,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,169.45,3,2,2,有,有,40000000,251466,坡道平面,21.12,2700000,預售屋、或土地及建物分件登記案件；,RPTPMLRKJHHGFAA57DA,79.79,3.63,6.23,有,,1.0,十四,14
65,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１６號五樓,23.1,住,,,1090611,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,169.45,3,2,2,有,有,36100000,227196,坡道平面,21.12,2400000,預售屋、或土地及建物分件登記案件；,RPVPMLRKJHHGFAA77DA,79.79,3.63,6.23,有,,1.0,十四,14
66,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１２號四樓,23.6,住,,,1090619,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,173.25,3,2,2,有,有,36000000,225180,坡道平面,24.48,2500000,預售屋、或土地及建物分件登記案件；,RPXPMLRKJHHGFAA97DA,80.05,3.63,6.23,有,,1.0,十四,14
67,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１０號九樓,22.33,住,,,1071224,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,162.98000000000002,3,2,2,有,有,36300000,237558,坡道平面,21.12,2600000,預售屋、或土地及建物分件登記案件；,RPOQMLRKJHHGFAA17DA,76.75,3.05,5.59,有,,1.0,十四,14
68,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷８號四樓,22.31,住,,,1090508,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,163.08,3,2,2,有,有,34600000,226824,坡道平面,21.12,2400000,預售屋、或土地及建物分件登記案件；,RPSNMLRKJHHGFAA27DA,76.68,3.63,5.23,有,,1.0,十四,14
69,台北市,中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１２號十四樓,23.16,住,,,1081226,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,169.91,3,2,2,有,有,37730000,236105,坡道平面,21.12,2600000,預售屋、或土地及建物分件登記案件；,RPWNMLRKJHHGFAA67DA,80.05,3.63,6.23,有,,1.0,十四,14
70,台北市,文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段３５７號五樓,53.09,住,,,1101211,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,325.6,3,2,2,有,有,49380000,178648,坡道平面,74.38,4500000,其他增建；,RPSNMLLKJHHGFAA66DA,153.35,12.71,7.35,有,20.0,2.0,十四,14
73,台北市,文山區,房地(土地+建物)+車位,臺北市文山區政大二街１３７號十二樓,92.61,住,,,1101216,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850824,185.68,4,2,2,有,有,21280000,114606,坡道平面,0.0,2000000,其他增建；,RPXNMLQLJHHGFAA77DA,101.34,3.57,11.42,有,,1.0,十六,16
80,台北市,大同區,房地(土地+建物)+車位,臺北市大同區環河北路二段２８７號八樓之３,20.12,住,,,1101121,土地2建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960606,123.12,3,1,2,有,有,20600000,177229,坡道機械,15.35,1500000,陽台外推；其他增建；,RPUOMLOJJHHGFBA27DA,62.41,4.21,8.08,有,,1.0,十三,13
84,台北市,中山區,房地(土地+建物),臺北市中山區雙城街１９巷８號二樓之１５,3.54,商,,,1110101,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,33.9,1,1,1,有,有,8150000,240413,,0.0,0,陽台外推；夾層；其他增建；,RPXRMLOKJHHGFCA08DA,19.85,0.22,2.59,有,,0.0,十四,14
85,台北市,內湖區,房地(土地+建物)+車位,臺北市內湖區港華街１１９號九樓,22.15,住,,,1101202,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,154.53,3,2,2,有,有,35060000,272514,坡道平面,35.05,2500000,陽台外推；,RPPOMLRJJHHGFCA17DA,72.89,2.43,8.63,有,,1.0,十三,13
97,台北市,士林區,房地(土地+建物),臺北市士林區基河路３０號四樓之２,7.98,商,,,1101223,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871211,50.11,1,1,1,有,有,13260000,264618,,0.0,0,陽台外推；,RPTNMLSLJHHGFEA97DA,33.19,0.0,3.79,有,24.0,0.0,十三,13
110,台北市,北投區,房地(土地+建物),臺北市北投區溫泉路３７巷３０號七樓之２,11.13,商,,,1101231,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,55.09,1,1,1,有,有,8750000,158831,,0.0,0,夾層；,RPXNMLRJKHHGFEA18DA,29.66,0.0,4.06,有,29.0,0.0,十三,13
112,台北市,大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段４５２號六樓之１,11.66,住,,,1101203,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,104.66,1,1,1,有,有,20800000,198739,坡道平面,36.99,0,夾層；,RPOOMLSLKIGGFFA77DA,39.29,0.0,3.52,有,30.0,1.0,十三,13
115,台北市,松山區,房地(土地+建物)+車位,臺北市松山區饒河街１９９號三樓之１,10.43,商,,,1101110,土地1建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1071003,184.14,3,2,2,有,有,31180000,200185,坡道平面,43.37,3000000,,RPTQMLKKJHHGFDA37EA,86.42,3.7,8.87,有,,1.0,十八,18
116,台北市,北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段４０巷３４弄１６號九樓之１,25.49,住,,,1101220,土地1建物1車位2,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010731,215.34,3,2,2,有,有,28200000,159952,坡道平面,65.92,4300000,,RPQOMLRJKHHGFEA67EA,88.15,6.15,8.79,有,31.0,2.0,二十一,21
121,台北市,大安區,房地(土地+建物),臺北市大安區敦化南路二段４６號十一樓之１４號,4.36,住,,,1101222,土地1建物1車位0,十一層，陽台,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0640602,49.43,1,1,1,有,有,16446000,332713,,0.0,0,,RPVNMLRJKHHGFFA18EA,41.57,0.0,0.0,有,,0.0,十六,16
125,台北市,大安區,房地(土地+建物),臺北市大安區仁愛路四段１２２巷６３號十三樓之５,6.86,商,,,1101221,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720816,66.38,2,2,1,有,有,23580000,355227,,0.0,0,其他增建；,RPXPMLRJJHHGFFA38DA,57.01,0.0,1.34,有,,0.0,十四,14
126,台北市,士林區,房地(土地+建物),臺北市士林區劍潭路１６號六樓之１,8.33,商,,,1101230,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971226,51.91,1,1,1,有,有,15500000,298594,,0.0,0,,RPPOMLRJKHHGFEA47DA,29.47,1.93,2.74,有,,0.0,十四,14
145,台北市,信義區,房地(土地+建物)+車位,臺北市信義區基隆路二段１７７號六樓之３,6.86,商,,,1080723,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990901,113.16,2,1,1,有,有,21800000,192648,坡道平面,0.0,2700000,,RPQPMLRJKHHGFDA57DA,40.97,2.28,1.87,有,,1.0,十五,15
151,台北市,松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９號十一樓,56.74,住,,,1101125,土地2建物1車位2,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090102,414.71000000000004,0,0,0,無,有,201650000,580503,坡道平面,81.12,8000000,,RPQPMLQKKIGGFDA57DA,180.31,9.75,24.4,有,,2.0,二十三,23
159,台北市,中山區,房地(土地+建物)+車位,臺北市中山區八德路二段１７４巷１８號二樓,52.19,住,,,1101231,土地1建物1車位3,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050330,418.94,3,2,3,有,有,106000000,253020,坡道平面,91.41,0,,RPXOMLRKJHHGFCA08DA,191.47,15.04,16.92,有,,3.0,十四,14
165,台北市,萬華區,房地(土地+建物),臺北市萬華區環河南路二段２１號十五樓,8.47,商,,,1101231,土地2建物1車位0,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,90.47,2,2,1,有,有,18520000,204686,,0.0,0,買賣價格含直興段二小段1516及1517建號各持分451/100000,RPVOMLKLJHHGFBA17DA,53.82,3.16,3.89,有,,0.0,二十四,24
173,台北市,文山區,房地(土地+建物)+車位,臺北市文山區福興路１０６巷３１號三樓,20.27,住,,,1101213,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,129.78,2,2,1,有,有,18750000,178021,坡道平面,35.69,2000000,,RPWNMLSJKHHGFAA77DA,52.71,5.12,3.44,有,,1.0,十四,14
1,臺中市,西區,房地(土地+建物)+車位,臺中市西區三民路一段３６號１４樓之９,7.79,商,,,1101219,土地2建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,94.77,2,2,1,有,有,6450000,68060,坡道機械,0.0,600000,,RPQNMLTKKIGGFAB47DA,54.33,0.0,5.24,有,1.0,1.0,十九,19
3,臺中市,西區,房地(土地+建物),臺中市西區中美街２２號４樓之１,15.5,住,,,1101224,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851108,227.17000000000002,4,2,2,有,有,14960000,65854,,0.0,0,,RPOPMLOLKIGGFAB07DA,110.09,56.37,13.35,有,,0.0,十七,17
8,臺中市,西區,房地(土地+建物),臺中市西區向上路一段１５號１１樓之１１,3.92,商,,,1101225,土地2建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830924,38.13,1,1,1,有,有,2860000,75007,,0.0,0,,RPVQMLNKJHHGFAB57DA,25.81,0.48,2.37,有,2.0,0.0,十三,13
10,臺中市,西區,房地(土地+建物)+車位,臺中市西區大忠南街９８號１８．１９樓之２,44.84,住,,,1101220,土地1建物2車位2,十八層，十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860606,575.75,5,3,6,有,有,31500000,54710,坡道機械,0.0,0,陽台外推；其他增建；,RPXOMLLKJHHGFAB37DA,351.43,1.04,38.35,有,,2.0,十九,19
11,臺中市,東區,房地(土地+建物)+車位,臺中市東區六順路２８號十二樓之２,23.52,住,,,1101224,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050719,159.66,3,2,2,有,有,13500000,84555,坡道平面,29.77,0,,RPTNMLRKJHHGFAB47DA,77.55,0.0,9.66,有,,1.0,十四,14
13,臺中市,南區,房地(土地+建物),臺中市南區文心南路７４５－７號６樓之１,17.46,住,,,1101216,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880702,186.36,3,2,2,有,有,8600000,46147,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMLJHHGFAB66DA,96.8,0.0,21.24,有,,0.0,十四,14
16,臺中市,中區,房地(土地+建物),臺中市中區中華路一段１２１號１８樓之９,1.65,商,,,1101225,土地1建物1車位0,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850520,32.76,1,1,2,有,有,1850000,56471,,0.0,0,含傢俱設備費；,RPQOMLQLJHHGFAB27DA,18.3,0.93,2.99,有,5.0,0.0,十九,19
19,臺中市,西區,房地(土地+建物)+車位,臺中市西區忠明南路１１２號三樓之八,16.3,住,,,1110118,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951222,178.95,3,2,2,有,有,16880000,94328,坡道平面,25.27,0,含傢俱設備費；,RPOOMLRLJHHGFAB17DA,95.24,0.0,17.7,有,,1.0,十五,15
20,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號十三樓之１,27.79,住,,,1090516,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,167.92000000000002,3,2,2,有,有,12360000,82362,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPTPMLTJKIGGFBB97DA,80.79,0.0,7.14,有,,1.0,十四,14
21,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之５號五樓之１,20.92,住,,,1090531,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,134.36,2,2,1,有,有,9200000,78821,坡道平面,36.67,1500000,預售屋、或土地及建物分件登記案件；,RPSSMLTJKIGGFBB18DA,58.91,0.0,6.53,有,,1.0,十四,14
23,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號十三樓之２,27.79,住,,,1090122,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,167.92000000000002,3,2,2,有,有,12230000,81371,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPXUNLOKKIGGFBB58DA,80.79,0.0,7.14,有,,1.0,十四,14
24,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之５號十一樓之２,20.62,住,,,1090122,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,133.75,2,2,1,有,有,9190000,78698,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPVVNLOKKIGGFBB48DA,58.91,0.0,6.11,有,,1.0,十四,14
25,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６號二樓之１,20.32,住,,,1090510,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,132.4,2,2,1,有,有,8680000,75003,坡道平面,36.67,1500000,預售屋、或土地及建物分件登記案件；,RPOWNLOKKIGGFBB87DA,58.25,0.0,5.9,有,,1.0,十五,15
28,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段１１７號九樓之５,29.39,住,,,1101016,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100927,224.71,4,2,3,有,有,16650000,74096,坡道平面,0.0,0,,RPRSMLTLKIGGFBB28DA,113.51,0.0,20.02,有,8.0,1.0,十五,15
30,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區東山路一段３６７之２３號６樓,19.81,住,,,1101227,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840214,151.57999999999998,4,2,2,有,有,8580000,56604,坡道機械,0.0,0,,RPWSMLOJJHHGFBB97DA,104.21,0.88,11.68,有,,1.0,十四,14
31,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號六樓之２,27.79,住,,,1090218,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,167.92000000000002,3,2,2,有,有,12080000,80229,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPSUMLOJJHHGFBB77DA,80.79,0.0,7.14,有,,1.0,十四,14
32,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之５號十二樓之１,20.92,住,,,1090521,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,134.36,2,2,1,有,有,9400000,80356,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPVUMLOJJHHGFBB08DA,58.91,0.0,6.53,有,,1.0,十四,14
33,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號四樓之５,20.32,住,,,1090820,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,125.44,2,2,1,有,有,8860000,82654,坡道機械,29.74,950000,預售屋、或土地及建物分件登記案件；,RPVTMLTLKIGGFBB78DA,57.97,0.0,6.16,有,,1.0,十四,14
34,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段６７６號五樓之１,8.78,商,,,1101211,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070914,109.66,2,2,1,有,有,11000000,100310,坡道平面,0.0,0,,RPURMLPJJHHGFBB77DA,47.43,0.0,7.28,有,10.0,1.0,十五,15
36,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區景賢南二路３３３號十樓之５,11.68,商,,,1101225,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980626,120.95,2,2,1,有,有,9600000,79372,坡道平面,28.15,0,,RPVPMLLKJHHGFBB37DA,57.02,1.46,6.17,有,,1.0,十三,13
37,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區太和五街８２號六樓之１,36.7,住,,,1101225,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,217.32,4,2,3,有,有,20620000,94883,坡道平面,21.21,0,,RPORMLLKJHHGFBB86DA,114.92,2.9,15.15,有,11.0,1.0,十五,15
40,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區樹孝路７０２號七樓之５,20.37,住,,,1110106,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070425,128.8,2,2,1,有,有,10350000,80357,坡道平面,34.94,0,,RPUOMLNKJHHGFBB37DA,53.12,1.52,8.77,有,14.0,1.0,十四,14
47,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路４０９之２８號９樓,19.04,住,,,1101209,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,163.35,3,2,3,有,有,12500000,76523,坡道機械,0.0,0,,RPRQMLMLJHHGFBB27DA,97.29,0.0,15.73,有,16.0,1.0,十四,14
48,臺中市,北屯區,房地(土地+建物),臺中市北屯區三光一街５號六樓之２,6.16,住,,,1110114,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850610,60.47,1,1,1,有,有,3100000,51265,,0.0,0,,RPROMLOLJHHGFBB27DA,35.11,0.75,8.18,有,,0.0,十四,14
49,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號四樓之１,27.79,住,,,1090614,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,167.92000000000002,3,2,2,有,有,11950000,79238,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPUPMLQLJHHGFBB87DA,80.79,0.0,7.14,有,,1.0,十四,14
50,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之３號四樓之２,27.79,住,,,1090614,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,169.17000000000002,3,2,2,有,有,11950000,79238,坡道平面,37.92,1550000,預售屋、或土地及建物分件登記案件；,RPVPMLQLJHHGFBB97DA,80.79,0.0,7.14,有,,1.0,十四,14
51,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６之５號十二樓之３,22.41,住,,,1090118,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,142.05,2,2,1,有,有,10160000,81704,坡道平面,36.67,1550000,預售屋、或土地及建物分件登記案件；,RPPQMLQLJHHGFBB47DA,63.92,0.0,6.71,有,,1.0,十四,14
52,臺中市,北屯區,房地(土地+建物)+車位,臺中市北屯區陳平路２６號二樓之３,21.51,住,,,1090723,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101104,137.95999999999998,2,2,1,有,有,9500000,78981,坡道平面,36.67,1500000,預售屋、或土地及建物分件登記案件；,RPRQMLQLJHHGFBB67DA,61.31,0.0,6.58,有,,1.0,十五,15
53,臺中市,北區,房地(土地+建物),臺中市北區一中街５０號十一樓之４,6.84,住,,,1101129,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781024,61.92,2,2,1,有,有,5000000,80749,,0.0,0,,RPUQMLQLJHHGFBB97DA,42.4,0.0,1.77,有,,0.0,十四,14
60,臺中市,西屯區,房地(土地+建物)+車位,臺中市西屯區青海南街１９９號六樓之５,11.19,住,,,1101227,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101018,96.95,2,2,1,有,有,8820000,90975,坡道平面,30.9,0,,RPOOMLSLKIGGFCB57DA,37.91,2.1,2.94,有,21.0,1.0,二十三,23
61,臺中市,西屯區,房地(土地+建物)+車位,臺中市西屯區環中路二段１５７７號二十六樓之８,9.85,商,,,1101212,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071210,98.34,2,1,1,有,有,10400000,105756,坡道平面,24.82,0,,RPOQMLOJJHHGFCB07DA,42.68,1.32,4.68,有,22.0,1.0,二十九,29
65,臺中市,西屯區,房地(土地+建物),臺中市西屯區福聯街１５巷９號十二樓之３６,3.84,住,,,1110107,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,21.61,1,0,1,有,有,1350000,62471,,0.0,0,,RPUOMLOKJHHGFCB57DA,12.58,0.0,1.35,有,,0.0,十三,13
67,臺中市,西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段１１８６號三樓之３,17.39,住,,,1101010,土地1建物1車位1,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960817,306.51,4,2,2,有,有,26800000,87436,坡道平面,23.33,0,,RPXRMLOLJHHGFCB28DA,171.56,5.7,29.93,有,,1.0,二十六,26
68,臺中市,西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段１９９之２號二十三樓之１,10.92,,,,1101122,土地1建物1車位1,二十三層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100304,201.61,3,2,2,有,有,27800000,160180,坡道平面,41.79,2200000,,RPXSMLOLJHHGFCB38DA,91.08,1.96,10.5,有,,1.0,二十八,28
70,臺中市,西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段１９９之２號十四樓之５,8.02,,,,1101126,土地1建物1車位1,十四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100304,139.8,2,2,2,有,有,18810000,146426,坡道平面,20.9,1400000,,RPPTMLOLJHHGFCB67DA,66.68,2.27,8.49,有,,1.0,二十八,28
